Contract,Last,Change,Open,High,Low,Previous,Volume,Open Interest,Mo,Time
V25,2.1320,+0.02,2.1193,2.1346,2.1101,2.1159,12332.0,24093.0,4,2025/06/09
X25,2.1282,+0.02,2.1140,2.1304,2.1060,2.1124,4742.0,16436.0,5,2025/06/09
Z25,2.1216,+0.02,2.1065,2.1239,2.0994,2.1064,11790.0,39145.0,6,2025/06/09
N25,2.1253,+0.03,2.0945,2.1315,2.0799,2.0945,67991.0,90235.0,1,2025/06/06
Q25,2.1112,+0.03,2.0843,2.1174,2.0711,2.0848,43588.0,68875.0,2,2025/06/06
U25,2.1135,+0.03,2.0856,2.1194,2.0749,2.0880,22086.0,45606.0,3,2025/06/06
V25,2.1159,+0.02,2.0898,2.1212,2.0781,2.0910,10858.0,23374.0,4,2025/06/06
X25,2.1124,+0.02,2.0858,2.1175,2.0766,2.0884,4065.0,16539.0,5,2025/06/06
Z25,2.1064,+0.02,2.0802,2.1113,2.0710,2.0834,12389.0,38689.0,6,2025/06/06
N25,2.0945,+0.02,2.0701,2.1080,2.0606,2.0701,50801.0,95989.0,1,2025/06/05
Q25,2.0848,+0.02,2.0626,2.0983,2.0539,2.0629,32204.0,65774.0,2,2025/06/05
U25,2.0880,+0.02,2.0644,2.1010,2.0590,2.0670,19121.0,44310.0,3,2025/06/05
V25,2.0910,+0.02,2.0683,2.1035,2.0632,2.0706,9447.0,23297.0,4,2025/06/05
X25,2.0884,+0.02,2.0669,2.1012,2.0623,2.0692,3939.0,16272.0,5,2025/06/05
Z25,2.0834,+0.02,2.0628,2.0960,2.0578,2.0655,11301.0,38728.0,6,2025/06/05
N25,2.0701,-0.03,2.1032,2.1118,2.0600,2.0999,67254.0,96167.0,1,2025/06/04
Q25,2.0629,-0.03,2.0910,2.0993,2.0514,2.0891,46016.0,62691.0,2,2025/06/04
U25,2.0670,-0.02,2.0913,2.1002,2.0545,2.0916,31315.0,43168.0,3,2025/06/04
V25,2.0706,-0.02,2.0940,2.1014,2.0578,2.0951,13414.0,23206.0,4,2025/06/04
X25,2.0692,-0.03,2.0883,2.0997,2.0591,2.0947,6488.0,16122.0,5,2025/06/04
Z25,2.0655,-0.03,2.0900,2.0966,2.0543,2.0922,12695.0,39208.0,6,2025/06/04
N25,2.0999,+0.06,2.0546,2.1077,2.0490,2.0445,74791.0,101658.0,1,2025/06/03
Q25,2.0891,+0.05,2.0573,2.0959,2.0434,2.0384,52178.0,62176.0,2,2025/06/03
U25,2.0916,+0.05,2.0653,2.0991,2.0506,2.0459,29140.0,44442.0,3,2025/06/03
V25,2.0951,+0.04,2.0686,2.1027,2.0565,2.0527,14878.0,22444.0,4,2025/06/03
X25,2.0947,+0.04,2.0712,2.1021,2.0579,2.0543,5881.0,16112.0,5,2025/06/03
Z25,2.0922,+0.04,2.0687,2.1001,2.0557,2.0531,16431.0,38591.0,6,2025/06/03
N25,2.0445,+0.04,2.0038,2.0882,2.0038,2.0054,64190.0,100810.0,1,2025/06/02
Q25,2.0384,+0.04,1.9965,2.0784,1.9965,1.9971,39292.0,58126.0,2,2025/06/02
U25,2.0459,+0.04,2.0313,2.0834,2.0250,2.0052,18301.0,43287.0,3,2025/06/02
V25,2.0527,+0.04,2.0250,2.0891,2.0250,2.0130,9143.0,21426.0,4,2025/06/02
X25,2.0543,+0.04,2.0511,2.0898,2.0502,2.0154,3172.0,16082.0,5,2025/06/02
Z25,2.0531,+0.04,2.0130,2.0878,2.0130,2.0148,10192.0,38488.0,6,2025/06/02
N25,2.0054,-0.03,2.0296,2.0502,1.9905,2.0343,65647.0,106227.0,1,2025/05/30
Q25,1.9971,-0.03,2.0211,2.0403,1.9829,2.0258,41411.0,57921.0,2,2025/05/30
U25,2.0052,-0.03,2.0277,2.0466,1.9903,2.0325,20959.0,42517.0,3,2025/05/30
V25,2.0130,-0.03,2.0342,2.0530,1.9976,2.0400,9273.0,21728.0,4,2025/05/30
X25,2.0154,-0.03,2.0363,2.0548,2.0008,2.0424,4311.0,16194.0,5,2025/05/30
Z25,2.0148,-0.03,2.0414,2.0536,1.9988,2.0414,8774.0,38306.0,6,2025/05/30
N25,2.0343,-0.04,2.0669,2.1001,2.0274,2.0707,67015.0,104301.0,1,2025/05/29
Q25,2.0258,-0.04,2.0582,2.0911,2.0190,2.0625,26305.0,54406.0,2,2025/05/29
U25,2.0325,-0.04,2.0649,2.0968,2.0257,2.0690,16074.0,43666.0,3,2025/05/29
V25,2.0400,-0.04,2.0768,2.1034,2.0334,2.0767,7519.0,20555.0,4,2025/05/29
X25,2.0424,-0.04,2.0813,2.1049,2.0365,2.0790,4178.0,15972.0,5,2025/05/29
Z25,2.0414,-0.04,2.0743,2.1033,2.0345,2.0774,9961.0,38363.0,6,2025/05/29
N25,2.0707,+0.02,2.0596,2.0935,2.0510,2.0530,69358.0,103133.0,1,2025/05/28
Q25,2.0625,+0.02,2.0481,2.0841,2.0413,2.0423,30141.0,56671.0,2,2025/05/28
U25,2.0690,+0.02,2.0529,2.0896,2.0483,2.0483,16436.0,42988.0,3,2025/05/28
V25,2.0767,+0.02,2.0618,2.0958,2.0571,2.0559,7136.0,20187.0,4,2025/05/28
X25,2.0790,+0.02,2.0691,2.0978,2.0591,2.0585,3326.0,15544.0,5,2025/05/28
Z25,2.0774,+0.02,2.0642,2.0960,2.0577,2.0574,8084.0,37636.0,6,2025/05/28
N25,2.0530,-0.02,2.0837,2.0937,2.0478,2.0775,74523.0,99765.0,1,2025/05/27
Q25,2.0423,-0.02,2.0790,2.0822,2.0356,2.0660,34977.0,54461.0,2,2025/05/27
U25,2.0483,-0.02,2.0777,2.0865,2.0406,2.0707,21132.0,44074.0,3,2025/05/27
V25,2.0559,-0.02,2.0884,2.0891,2.0480,2.0774,8114.0,20004.0,4,2025/05/27
X25,2.0585,-0.02,2.0879,2.0943,2.0501,2.0801,5077.0,15756.0,5,2025/05/27
Z25,2.0574,-0.02,2.0877,2.0947,2.0483,2.0793,8225.0,38303.0,6,2025/05/27
N25,2.0775,-0.01,2.0785,2.0870,2.0505,2.0826,71606.0,98500.0,1,2025/05/23
Q25,2.0660,-0.00,2.0632,2.0742,2.0371,2.0679,28200.0,54708.0,2,2025/05/23
U25,2.0707,-0.00,2.0680,2.0784,2.0416,2.0724,17971.0,42914.0,3,2025/05/23
V25,2.0774,-0.00,2.0746,2.0833,2.0481,2.0787,4853.0,18842.0,4,2025/05/23
X25,2.0801,-0.00,2.0739,2.0855,2.0505,2.0810,3249.0,15761.0,5,2025/05/23
Z25,2.0793,-0.00,2.0745,2.0850,2.0497,2.0799,8251.0,37570.0,6,2025/05/23
N25,2.0826,-0.02,2.1058,2.1058,2.0526,2.1044,63637.0,95389.0,1,2025/05/22
Q25,2.0679,-0.02,2.0783,2.0840,2.0395,2.0894,28298.0,53160.0,2,2025/05/22
U25,2.0724,-0.02,2.0827,2.0860,2.0429,2.0914,18768.0,41062.0,3,2025/05/22
V25,2.0787,-0.02,2.0896,2.0896,2.0501,2.0965,6386.0,18426.0,4,2025/05/22
X25,2.0810,-0.02,2.0857,2.0918,2.0526,2.0982,4652.0,15495.0,5,2025/05/22
Z25,2.0799,-0.02,2.0958,2.0958,2.0524,2.0967,11722.0,36718.0,6,2025/05/22
N25,2.1044,+0.01,2.1004,2.1449,2.0845,2.0941,69124.0,91640.0,1,2025/05/21
Q25,2.0894,+0.01,2.0938,2.1299,2.0704,2.0814,30088.0,51615.0,2,2025/05/21
U25,2.0914,+0.01,2.1024,2.1329,2.0742,2.0847,20215.0,39536.0,3,2025/05/21
V25,2.0965,+0.01,2.1273,2.1352,2.0798,2.0908,6823.0,18513.0,4,2025/05/21
X25,2.0982,+0.01,2.1309,2.1390,2.0828,2.0931,3882.0,15136.0,5,2025/05/21
Z25,2.0967,+0.00,2.1004,2.1390,2.0816,2.0923,10674.0,35592.0,6,2025/05/21
N25,2.0941,+0.00,2.0901,2.1083,2.0750,2.0913,58313.0,89659.0,1,2025/05/20
Q25,2.0814,+0.00,2.0775,2.0940,2.0627,2.0777,25815.0,49518.0,2,2025/05/20
U25,2.0847,+0.00,2.0813,2.0962,2.0667,2.0807,14473.0,38424.0,3,2025/05/20
V25,2.0908,+0.00,2.0861,2.1016,2.0748,2.0869,6480.0,17647.0,4,2025/05/20
X25,2.0931,+0.00,2.0855,2.1030,2.0758,2.0887,2830.0,14773.0,5,2025/05/20
Z25,2.0923,+0.01,2.0894,2.1020,2.0753,2.0868,8272.0,34749.0,6,2025/05/20
N25,2.0913,-0.01,2.1058,2.1088,2.0760,2.1024,62262.0,88782.0,1,2025/05/19
Q25,2.0777,-0.01,2.0872,2.0950,2.0630,2.0901,22770.0,46214.0,2,2025/05/19
U25,2.0807,-0.01,2.0825,2.0973,2.0663,2.0928,13753.0,37613.0,3,2025/05/19
V25,2.0869,-0.01,2.0795,2.1026,2.0737,2.0986,5721.0,17213.0,4,2025/05/19
X25,2.0887,-0.01,2.0816,2.1039,2.0750,2.1001,4152.0,14761.0,5,2025/05/19
Z25,2.0868,-0.01,2.0924,2.1016,2.0730,2.0985,8652.0,33431.0,6,2025/05/19
N25,2.1024,-0.01,2.1082,2.1222,2.0782,2.1107,80793.0,91831.0,1,2025/05/16
Q25,2.0901,-0.00,2.0892,2.1021,2.0619,2.0926,29204.0,44807.0,2,2025/05/16
U25,2.0928,-0.00,2.0909,2.1032,2.0644,2.0938,19546.0,36700.0,3,2025/05/16
V25,2.0986,-0.00,2.0970,2.1083,2.0701,2.0989,10347.0,16540.0,4,2025/05/16
X25,2.1001,-0.00,2.0998,2.1075,2.0722,2.1004,6250.0,14264.0,5,2025/05/16
Z25,2.0985,0.00,2.0977,2.1073,2.0704,2.0985,14588.0,32517.0,6,2025/05/16
N25,2.1107,-0.04,2.1359,2.1404,2.0838,2.1531,96282.0,89431.0,1,2025/05/15
Q25,2.0926,-0.04,2.1194,2.1220,2.0677,2.1349,49386.0,43596.0,2,2025/05/15
U25,2.0938,-0.04,2.1209,2.1238,2.0698,2.1364,37767.0,34795.0,3,2025/05/15
V25,2.0989,-0.04,2.1279,2.1281,2.0758,2.1415,13405.0,15573.0,4,2025/05/15
X25,2.1004,-0.04,2.1119,2.1135,2.0788,2.1430,6747.0,13883.0,5,2025/05/15
Z25,2.0985,-0.04,2.1240,2.1241,2.0782,2.1413,17453.0,31483.0,6,2025/05/15
N25,2.1531,+0.02,2.1386,2.1586,2.1165,2.1315,92175.0,88564.0,1,2025/05/14
Q25,2.1349,+0.01,2.1231,2.1406,2.1053,2.1240,46752.0,42846.0,2,2025/05/14
U25,2.1364,+0.01,2.1275,2.1422,2.1093,2.1294,37704.0,31349.0,3,2025/05/14
V25,2.1415,+0.01,2.1335,2.1465,2.1151,2.1358,17049.0,15058.0,4,2025/05/14
X25,2.1430,+0.00,2.1326,2.1475,2.1184,2.1390,8910.0,13824.0,5,2025/05/14
Z25,2.1413,+0.00,2.1362,2.1455,2.1179,2.1393,22824.0,32044.0,6,2025/05/14
N25,2.1315,+0.05,2.0784,2.1397,2.0695,2.0779,70804.0,85951.0,1,2025/05/13
Q25,2.1240,+0.05,2.0751,2.1270,2.0670,2.0755,29598.0,42683.0,2,2025/05/13
U25,2.1294,+0.05,2.0828,2.1316,2.0748,2.0831,22575.0,28672.0,3,2025/05/13
V25,2.1358,+0.05,2.0875,2.1378,2.0821,2.0901,8401.0,16144.0,4,2025/05/13
X25,2.1390,+0.04,2.0901,2.1408,2.0865,2.0942,4275.0,14031.0,5,2025/05/13
Z25,2.1393,+0.04,2.0933,2.1417,2.0880,2.0957,15167.0,32317.0,6,2025/05/13
N25,2.0779,+0.04,2.0499,2.1045,2.0391,2.0372,59775.0,80362.0,1,2025/05/12
Q25,2.0755,+0.04,2.0498,2.1020,2.0397,2.0382,26167.0,43942.0,2,2025/05/12
U25,2.0831,+0.04,2.0572,2.1085,2.0475,2.0465,18872.0,28312.0,3,2025/05/12
V25,2.0901,+0.04,2.0628,2.1152,2.0554,2.0544,5598.0,15403.0,4,2025/05/12
X25,2.0942,+0.03,2.0684,2.1190,2.0612,2.0595,3554.0,13672.0,5,2025/05/12
Z25,2.0957,+0.03,2.0688,2.1214,2.0622,2.0618,12715.0,30838.0,6,2025/05/12
N25,2.0372,+0.02,2.0287,2.0536,2.0195,2.0152,70770.0,74879.0,1,2025/05/09
Q25,2.0382,+0.02,2.0295,2.0525,2.0194,2.0163,27269.0,42128.0,2,2025/05/09
U25,2.0465,+0.02,2.0366,2.0593,2.0267,2.0244,16241.0,26682.0,3,2025/05/09
V25,2.0544,+0.02,2.0378,2.0657,2.0340,2.0324,7448.0,15505.0,4,2025/05/09
X25,2.0595,+0.02,2.0403,2.0698,2.0388,2.0377,3794.0,13560.0,5,2025/05/09
Z25,2.0618,+0.02,2.0506,2.0720,2.0407,2.0407,10095.0,29892.0,6,2025/05/09
N25,2.0152,+0.05,1.9531,2.0315,1.9531,1.9610,67045.0,72543.0,1,2025/05/08
Q25,2.0163,+0.05,1.9572,2.0308,1.9572,1.9659,27078.0,41742.0,2,2025/05/08
U25,2.0244,+0.05,1.9701,2.0377,1.9695,1.9759,17707.0,27398.0,3,2025/05/08
V25,2.0324,+0.05,1.9811,2.0438,1.9799,1.9860,7748.0,15474.0,4,2025/05/08
X25,2.0377,+0.04,1.9883,2.0483,1.9874,1.9932,6052.0,13165.0,5,2025/05/08
Z25,2.0407,+0.04,1.9937,2.0515,1.9919,1.9976,11696.0,29703.0,6,2025/05/08
N25,1.9610,-0.03,1.9897,2.0193,1.9549,1.9946,50096.0,71146.0,1,2025/05/07
Q25,1.9659,-0.03,2.0054,2.0221,1.9600,1.9991,21968.0,39752.0,2,2025/05/07
U25,1.9759,-0.03,2.0028,2.0303,1.9696,2.0088,14978.0,26458.0,3,2025/05/07
V25,1.9860,-0.03,2.0126,2.0388,1.9800,2.0187,5325.0,14686.0,4,2025/05/07
X25,1.9932,-0.03,2.0284,2.0448,1.9873,2.0257,4083.0,13030.0,5,2025/05/07
Z25,1.9976,-0.03,2.0306,2.0484,1.9919,2.0298,11687.0,28489.0,6,2025/05/07
N25,1.9946,+0.03,1.9605,2.0146,1.9605,1.9598,41866.0,66604.0,1,2025/05/06
Q25,1.9991,+0.04,1.9663,2.0182,1.9647,1.9636,18178.0,39062.0,2,2025/05/06
U25,2.0088,+0.04,1.9757,2.0267,1.9740,1.9729,13779.0,25298.0,3,2025/05/06
V25,2.0187,+0.04,1.9852,2.0358,1.9837,1.9825,6533.0,14713.0,4,2025/05/06
X25,2.0257,+0.04,1.9925,2.0422,1.9912,1.9898,3687.0,12915.0,5,2025/05/06
Z25,2.0298,+0.04,1.9977,2.0462,1.9964,1.9946,10692.0,28340.0,6,2025/05/06
N25,1.9598,-0.02,1.9524,1.9743,1.9219,1.9783,33832.0,64372.0,1,2025/05/05
Q25,1.9636,-0.02,1.9557,1.9768,1.9251,1.9822,16646.0,39989.0,2,2025/05/05
U25,1.9729,-0.02,1.9600,1.9855,1.9348,1.9914,9981.0,25989.0,3,2025/05/05
V25,1.9825,-0.02,1.9623,1.9950,1.9458,2.0008,5631.0,14304.0,4,2025/05/05
X25,1.9898,-0.02,1.9518,2.0024,1.9518,2.0078,5504.0,12870.0,5,2025/05/05
Z25,1.9946,-0.02,1.9601,2.0074,1.9581,2.0123,10690.0,27691.0,6,2025/05/05
N25,1.9783,-0.02,1.9899,2.0119,1.9621,1.9976,40007.0,64160.0,1,2025/05/02
Q25,1.9822,-0.02,1.9935,2.0156,1.9667,2.0022,17730.0,40548.0,2,2025/05/02
U25,1.9914,-0.02,2.0005,2.0236,1.9759,2.0112,10932.0,25554.0,3,2025/05/02
V25,2.0008,-0.02,2.0094,2.0315,1.9849,2.0201,5323.0,14460.0,4,2025/05/02
X25,2.0078,-0.02,2.0285,2.0372,1.9917,2.0262,4414.0,12514.0,5,2025/05/02
Z25,2.0123,-0.02,2.0242,2.0410,1.9964,2.0301,8688.0,26599.0,6,2025/05/02
N25,1.9976,+0.01,1.9860,2.0069,1.9458,1.9850,47154.0,60076.0,1,2025/05/01
Q25,2.0022,+0.01,1.9844,2.0102,1.9487,1.9879,24970.0,40792.0,2,2025/05/01
U25,2.0112,+0.01,2.0017,2.0187,1.9588,1.9972,16917.0,26126.0,3,2025/05/01
V25,2.0201,+0.01,2.0094,2.0269,1.9684,2.0063,6138.0,14232.0,4,2025/05/01
X25,2.0262,+0.01,2.0154,2.0327,1.9754,2.0126,4204.0,12106.0,5,2025/05/01
Z25,2.0301,+0.01,2.0212,2.0366,1.9797,2.0164,8620.0,26336.0,6,2025/05/01
N25,1.9850,-0.06,2.0386,2.0412,1.9802,2.0428,39095.0,59094.0,1,2025/04/30
Q25,1.9879,-0.06,2.0394,2.0434,1.9836,2.0447,21032.0,40740.0,2,2025/04/30
U25,1.9972,-0.06,2.0509,2.0517,1.9930,2.0532,16220.0,26080.0,3,2025/04/30
V25,2.0063,-0.06,2.0584,2.0601,2.0024,2.0617,8804.0,14133.0,4,2025/04/30
X25,2.0126,-0.05,2.0638,2.0657,2.0088,2.0672,3202.0,11727.0,5,2025/04/30
Z25,2.0164,-0.05,2.0680,2.0689,2.0124,2.0704,11022.0,26618.0,6,2025/04/30
N25,2.0428,-0.03,2.0780,2.0824,2.0344,2.0774,36967.0,59296.0,1,2025/04/29
Q25,2.0447,-0.03,2.0837,2.0843,2.0365,2.0774,16994.0,41613.0,2,2025/04/29
U25,2.0532,-0.03,2.0837,2.0888,2.0452,2.0839,13602.0,26127.0,3,2025/04/29
V25,2.0617,-0.03,2.0898,2.0970,2.0537,2.0909,6378.0,13444.0,4,2025/04/29
X25,2.0672,-0.03,2.0941,2.0995,2.0598,2.0954,2874.0,11763.0,5,2025/04/29
Z25,2.0704,-0.03,2.0977,2.1027,2.0626,2.0979,8966.0,26674.0,6,2025/04/29
N25,2.0774,-0.01,2.1011,2.1104,2.0691,2.0923,38580.0,58930.0,1,2025/04/28
Q25,2.0774,-0.01,2.0952,2.1087,2.0687,2.0923,14488.0,41312.0,2,2025/04/28
U25,2.0839,-0.01,2.1096,2.1147,2.0753,2.0987,9346.0,25850.0,3,2025/04/28
V25,2.0909,-0.01,2.1100,2.1213,2.0821,2.1057,2973.0,12716.0,4,2025/04/28
X25,2.0954,-0.01,2.1234,2.1241,2.0868,2.1103,2230.0,11674.0,5,2025/04/28
Z25,2.0979,-0.01,2.1170,2.1287,2.0891,2.1129,6079.0,26701.0,6,2025/04/28
N25,2.0923,+0.01,2.0833,2.1027,2.0662,2.0817,38371.0,58796.0,1,2025/04/25
Q25,2.0923,+0.01,2.0875,2.1020,2.0669,2.0826,17090.0,40754.0,2,2025/04/25
U25,2.0987,+0.01,2.0938,2.1084,2.0739,2.0894,8855.0,25331.0,3,2025/04/25
V25,2.1057,+0.01,2.1009,2.1154,2.0814,2.0966,4604.0,12635.0,4,2025/04/25
X25,2.1103,+0.01,2.1050,2.1199,2.0867,2.1013,2912.0,11495.0,5,2025/04/25
Z25,2.1129,+0.01,2.1084,2.1224,2.0895,2.1039,8071.0,26345.0,6,2025/04/25
N25,2.0817,+0.02,2.0609,2.0861,2.0580,2.0643,25952.0,56143.0,1,2025/04/24
Q25,2.0826,+0.02,2.0624,2.0866,2.0595,2.0648,13121.0,39473.0,2,2025/04/24
U25,2.0894,+0.02,2.0678,2.0933,2.0660,2.0707,7548.0,24496.0,3,2025/04/24
V25,2.0966,+0.02,2.0761,2.1003,2.0732,2.0775,2948.0,12464.0,4,2025/04/24
X25,2.1013,+0.02,2.0807,2.1043,2.0789,2.0819,1706.0,11527.0,5,2025/04/24
Z25,2.1039,+0.02,2.0834,2.1076,2.0808,2.0846,4845.0,25926.0,6,2025/04/24
N25,2.0643,-0.02,2.0949,2.1187,2.0404,2.0870,28771.0,53125.0,1,2025/04/23
Q25,2.0648,-0.02,2.0952,2.1174,2.0409,2.0864,12947.0,37701.0,2,2025/04/23
U25,2.0707,-0.02,2.1080,2.1220,2.0468,2.0917,11084.0,24137.0,3,2025/04/23
V25,2.0775,-0.02,2.1117,2.1280,2.0539,2.0983,6192.0,12484.0,4,2025/04/23
X25,2.0819,-0.02,2.1175,2.1310,2.0593,2.1021,3141.0,11440.0,5,2025/04/23
Z25,2.0846,-0.02,2.1166,2.1331,2.0618,2.1040,9607.0,26080.0,6,2025/04/23
N25,2.0870,+0.03,2.0662,2.1006,2.0640,2.0541,23739.0,51173.0,1,2025/04/22
Q25,2.0864,+0.03,2.0648,2.0991,2.0640,2.0540,12685.0,37431.0,2,2025/04/22
U25,2.0917,+0.03,2.0710,2.1041,2.0698,2.0595,7923.0,23836.0,3,2025/04/22
V25,2.0983,+0.03,2.0772,2.1107,2.0771,2.0667,2727.0,12037.0,4,2025/04/22
X25,2.1021,+0.03,2.0819,2.1137,2.0819,2.0704,1578.0,11196.0,5,2025/04/22
Z25,2.1040,+0.03,2.0821,2.1156,2.0821,2.0722,5858.0,26176.0,6,2025/04/22
N25,2.0541,-0.04,2.0914,2.0914,2.0440,2.0982,13270.0,49753.0,1,2025/04/21
Q25,2.0540,-0.04,2.0930,2.0930,2.0438,2.0980,7901.0,36596.0,2,2025/04/21
U25,2.0595,-0.04,2.0894,2.0903,2.0498,2.1034,4129.0,23898.0,3,2025/04/21
V25,2.0667,-0.04,2.0966,2.0966,2.0569,2.1098,2001.0,12087.0,4,2025/04/21
X25,2.0704,-0.04,2.0995,2.0995,2.0607,2.1129,1033.0,10901.0,5,2025/04/21
Z25,2.0722,-0.04,2.1009,2.1009,2.0629,2.1142,4130.0,26075.0,6,2025/04/21
N25,2.0982,+0.04,2.0627,2.1096,2.0574,2.0545,22307.0,48098.0,1,2025/04/17
Q25,2.0980,+0.04,2.0611,2.1082,2.0562,2.0530,12581.0,36806.0,2,2025/04/17
U25,2.1034,+0.05,2.0660,2.1132,2.0608,2.0580,9152.0,23518.0,3,2025/04/17
V25,2.1098,+0.05,2.0727,2.1196,2.0678,2.0647,4551.0,11854.0,4,2025/04/17
X25,2.1129,+0.04,2.0764,2.1226,2.0724,2.0684,2379.0,10765.0,5,2025/04/17
Z25,2.1142,+0.04,2.0781,2.1235,2.0734,2.0701,7126.0,25934.0,6,2025/04/17
N25,2.0545,+0.03,2.0340,2.0636,2.0085,2.0263,21481.0,46853.0,1,2025/04/16
Q25,2.0530,+0.03,2.0333,2.0618,2.0083,2.0261,10308.0,35603.0,2,2025/04/16
U25,2.0580,+0.03,2.0391,2.0665,2.0143,2.0318,7286.0,22859.0,3,2025/04/16
V25,2.0647,+0.03,2.0462,2.0730,2.0220,2.0390,3000.0,11733.0,4,2025/04/16
X25,2.0684,+0.03,2.0470,2.0764,2.0270,2.0432,2215.0,10198.0,5,2025/04/16
Z25,2.0701,+0.02,2.0551,2.0780,2.0294,2.0455,6813.0,25675.0,6,2025/04/16
N25,2.0263,-0.01,2.0340,2.0516,2.0188,2.0360,17236.0,45553.0,1,2025/04/15
Q25,2.0261,-0.01,2.0340,2.0502,2.0191,2.0355,10482.0,34027.0,2,2025/04/15
U25,2.0318,-0.01,2.0401,2.0557,2.0250,2.0415,7701.0,22553.0,3,2025/04/15
V25,2.0390,-0.01,2.0488,2.0622,2.0325,2.0487,3573.0,11541.0,4,2025/04/15
X25,2.0432,-0.01,2.0516,2.0653,2.0373,2.0524,2722.0,9992.0,5,2025/04/15
Z25,2.0455,-0.01,2.0541,2.0663,2.0393,2.0534,7812.0,25395.0,6,2025/04/15
N25,2.0360,+0.02,2.0285,2.0563,2.0156,2.0175,14856.0,43667.0,1,2025/04/14
Q25,2.0355,+0.02,2.0299,2.0550,2.0151,2.0180,10827.0,32998.0,2,2025/04/14
