symbol,contractSymbol,dailyLastPrice,dailyPriceChange,dailyOpenPrice,dailyHighPrice,dailyLowPrice,dailyPreviousPrice,dailyVolume,dailyOpenInterest,dailyDate1dAgo,symbolCode,symbolType,hasOptions,raw
HOG27,HOG27 (Feb '27),2.2435,+0.0266,0.0000,2.2435,2.2435,2.2169,9,119,06/16/25,FUT,2,Yes,"{'symbol': 'HOG27', 'contractSymbol': ""HOG27 (Feb '27)"", 'dailyLastPrice': 2.2435, 'dailyPriceChange': 0.0266, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2435, 'dailyLowPrice': 2.2435, 'dailyPreviousPrice': 2.2169, 'dailyVolume': 9, 'dailyOpenInterest': 119, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOH27,HOH27 (Mar '27),2.2376,+0.0263,0.0000,2.2376,2.2376,2.2113,8,137,06/16/25,FUT,2,Yes,"{'symbol': 'HOH27', 'contractSymbol': ""HOH27 (Mar '27)"", 'dailyLastPrice': 2.2376, 'dailyPriceChange': 0.0263, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2376, 'dailyLowPrice': 2.2376, 'dailyPreviousPrice': 2.2113, 'dailyVolume': 8, 'dailyOpenInterest': 137, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOJ27,HOJ27 (Apr '27),2.2260,+0.0260,0.0000,2.2260,2.2260,2.2000,0,74,06/16/25,FUT,2,Yes,"{'symbol': 'HOJ27', 'contractSymbol': ""HOJ27 (Apr '27)"", 'dailyLastPrice': 2.226, 'dailyPriceChange': 0.026, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.226, 'dailyLowPrice': 2.226, 'dailyPreviousPrice': 2.2, 'dailyVolume': 0, 'dailyOpenInterest': 74, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOK27,HOK27 (May '27),2.2165,+0.0258,0.0000,2.2165,2.2165,2.1907,0,53,06/16/25,FUT,2,Yes,"{'symbol': 'HOK27', 'contractSymbol': ""HOK27 (May '27)"", 'dailyLastPrice': 2.2165, 'dailyPriceChange': 0.0258, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2165, 'dailyLowPrice': 2.2165, 'dailyPreviousPrice': 2.1907, 'dailyVolume': 0, 'dailyOpenInterest': 53, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOM27,HOM27 (Jun '27),2.2130,+0.0256,0.0000,2.2130,2.2130,2.1874,0,497,06/16/25,FUT,2,Yes,"{'symbol': 'HOM27', 'contractSymbol': ""HOM27 (Jun '27)"", 'dailyLastPrice': 2.213, 'dailyPriceChange': 0.0256, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.213, 'dailyLowPrice': 2.213, 'dailyPreviousPrice': 2.1874, 'dailyVolume': 0, 'dailyOpenInterest': 497, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HON27,HON27 (Jul '27),2.2152,+0.0254,0.0000,2.2152,2.2152,2.1898,0,40,06/16/25,FUT,2,Yes,"{'symbol': 'HON27', 'contractSymbol': ""HON27 (Jul '27)"", 'dailyLastPrice': 2.2152, 'dailyPriceChange': 0.0254, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2152, 'dailyLowPrice': 2.2152, 'dailyPreviousPrice': 2.1898, 'dailyVolume': 0, 'dailyOpenInterest': 40, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOQ27,HOQ27 (Aug '27),2.2175,+0.0251,0.0000,2.2175,2.2175,2.1924,0,40,06/16/25,FUT,2,Yes,"{'symbol': 'HOQ27', 'contractSymbol': ""HOQ27 (Aug '27)"", 'dailyLastPrice': 2.2175, 'dailyPriceChange': 0.0251, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2175, 'dailyLowPrice': 2.2175, 'dailyPreviousPrice': 2.1924, 'dailyVolume': 0, 'dailyOpenInterest': 40, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOU27,HOU27 (Sep '27),2.2184,+0.0249,0.0000,2.2184,2.2184,2.1935,0,37,06/16/25,FUT,2,Yes,"{'symbol': 'HOU27', 'contractSymbol': ""HOU27 (Sep '27)"", 'dailyLastPrice': 2.2184, 'dailyPriceChange': 0.0249, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2184, 'dailyLowPrice': 2.2184, 'dailyPreviousPrice': 2.1935, 'dailyVolume': 0, 'dailyOpenInterest': 37, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOV27,HOV27 (Oct '27),2.2192,+0.0247,0.0000,2.2192,2.2192,2.1945,0,36,06/16/25,FUT,2,Yes,"{'symbol': 'HOV27', 'contractSymbol': ""HOV27 (Oct '27)"", 'dailyLastPrice': 2.2192, 'dailyPriceChange': 0.0247, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2192, 'dailyLowPrice': 2.2192, 'dailyPreviousPrice': 2.1945, 'dailyVolume': 0, 'dailyOpenInterest': 36, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOX27,HOX27 (Nov '27),2.2191,+0.0245,0.0000,2.2191,2.2191,2.1946,0,35,06/16/25,FUT,2,Yes,"{'symbol': 'HOX27', 'contractSymbol': ""HOX27 (Nov '27)"", 'dailyLastPrice': 2.2191, 'dailyPriceChange': 0.0245, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2191, 'dailyLowPrice': 2.2191, 'dailyPreviousPrice': 2.1946, 'dailyVolume': 0, 'dailyOpenInterest': 35, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOZ27,HOZ27 (Dec '27),2.2173,+0.0242,0.0000,2.2173,2.2173,2.1931,2,"1,717",06/16/25,FUT,2,Yes,"{'symbol': 'HOZ27', 'contractSymbol': ""HOZ27 (Dec '27)"", 'dailyLastPrice': 2.2173, 'dailyPriceChange': 0.0242, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2173, 'dailyLowPrice': 2.2173, 'dailyPreviousPrice': 2.1931, 'dailyVolume': 2, 'dailyOpenInterest': 1717, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOF28,HOF28 (Jan '28),2.2235,+0.0240,0.0000,2.2235,2.2235,2.1995,0,4,06/16/25,FUT,2,Yes,"{'symbol': 'HOF28', 'contractSymbol': ""HOF28 (Jan '28)"", 'dailyLastPrice': 2.2235, 'dailyPriceChange': 0.024, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2235, 'dailyLowPrice': 2.2235, 'dailyPreviousPrice': 2.1995, 'dailyVolume': 0, 'dailyOpenInterest': 4, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOG28,HOG28 (Feb '28),2.2263,+0.0238,0.0000,2.2263,2.2263,2.2025,0,5,06/16/25,FUT,2,Yes,"{'symbol': 'HOG28', 'contractSymbol': ""HOG28 (Feb '28)"", 'dailyLastPrice': 2.2263, 'dailyPriceChange': 0.0238, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2263, 'dailyLowPrice': 2.2263, 'dailyPreviousPrice': 2.2025, 'dailyVolume': 0, 'dailyOpenInterest': 5, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOH28,HOH28 (Mar '28),2.2188,+0.0235,0.0000,2.2188,2.2188,2.1953,0,4,06/16/25,FUT,2,Yes,"{'symbol': 'HOH28', 'contractSymbol': ""HOH28 (Mar '28)"", 'dailyLastPrice': 2.2188, 'dailyPriceChange': 0.0235, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2188, 'dailyLowPrice': 2.2188, 'dailyPreviousPrice': 2.1953, 'dailyVolume': 0, 'dailyOpenInterest': 4, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOJ28,HOJ28 (Apr '28),2.2090,+0.0233,0.0000,2.2090,2.2090,2.1857,0,5,06/16/25,FUT,2,Yes,"{'symbol': 'HOJ28', 'contractSymbol': ""HOJ28 (Apr '28)"", 'dailyLastPrice': 2.209, 'dailyPriceChange': 0.0233, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.209, 'dailyLowPrice': 2.209, 'dailyPreviousPrice': 2.1857, 'dailyVolume': 0, 'dailyOpenInterest': 5, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOK28,HOK28 (May '28),2.2040,+0.0231,0.0000,2.2040,2.2040,2.1809,0,4,06/16/25,FUT,2,Yes,"{'symbol': 'HOK28', 'contractSymbol': ""HOK28 (May '28)"", 'dailyLastPrice': 2.204, 'dailyPriceChange': 0.0231, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.204, 'dailyLowPrice': 2.204, 'dailyPreviousPrice': 2.1809, 'dailyVolume': 0, 'dailyOpenInterest': 4, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOM28,HOM28 (Jun '28),2.2067,+0.0229,0.0000,2.2067,2.2067,2.1838,0,20,06/16/25,FUT,2,Yes,"{'symbol': 'HOM28', 'contractSymbol': ""HOM28 (Jun '28)"", 'dailyLastPrice': 2.2067, 'dailyPriceChange': 0.0229, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2067, 'dailyLowPrice': 2.2067, 'dailyPreviousPrice': 2.1838, 'dailyVolume': 0, 'dailyOpenInterest': 20, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HON28,HON28 (Jul '28),2.2109,+0.0226,0.0000,2.2109,2.2109,2.1883,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'HON28', 'contractSymbol': ""HON28 (Jul '28)"", 'dailyLastPrice': 2.2109, 'dailyPriceChange': 0.0226, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2109, 'dailyLowPrice': 2.2109, 'dailyPreviousPrice': 2.1883, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOQ28,HOQ28 (Aug '28),2.2116,+0.0224,0.0000,2.2116,2.2116,2.1892,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'HOQ28', 'contractSymbol': ""HOQ28 (Aug '28)"", 'dailyLastPrice': 2.2116, 'dailyPriceChange': 0.0224, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2116, 'dailyLowPrice': 2.2116, 'dailyPreviousPrice': 2.1892, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOU28,HOU28 (Sep '28),2.2118,+0.0222,0.0000,2.2118,2.2118,2.1896,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'HOU28', 'contractSymbol': ""HOU28 (Sep '28)"", 'dailyLastPrice': 2.2118, 'dailyPriceChange': 0.0222, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2118, 'dailyLowPrice': 2.2118, 'dailyPreviousPrice': 2.1896, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOV28,HOV28 (Oct '28),2.2142,+0.0220,0.0000,2.2142,2.2142,2.1922,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'HOV28', 'contractSymbol': ""HOV28 (Oct '28)"", 'dailyLastPrice': 2.2142, 'dailyPriceChange': 0.022, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2142, 'dailyLowPrice': 2.2142, 'dailyPreviousPrice': 2.1922, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOX28,HOX28 (Nov '28),2.2124,+0.0217,0.0000,2.2124,2.2124,2.1907,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'HOX28', 'contractSymbol': ""HOX28 (Nov '28)"", 'dailyLastPrice': 2.2124, 'dailyPriceChange': 0.0217, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2124, 'dailyLowPrice': 2.2124, 'dailyPreviousPrice': 2.1907, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOZ28,HOZ28 (Dec '28),2.2090,+0.0192,0.0000,2.2090,2.2090,2.1898,0,3,06/16/25,FUT,2,Yes,"{'symbol': 'HOZ28', 'contractSymbol': ""HOZ28 (Dec '28)"", 'dailyLastPrice': 2.209, 'dailyPriceChange': 0.0192, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.209, 'dailyLowPrice': 2.209, 'dailyPreviousPrice': 2.1898, 'dailyVolume': 0, 'dailyOpenInterest': 3, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOF29,HOF29 (Jan '29),2.2159,+0.0192,0.0000,2.2159,2.2159,2.1967,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'HOF29', 'contractSymbol': ""HOF29 (Jan '29)"", 'dailyLastPrice': 2.2159, 'dailyPriceChange': 0.0192, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2159, 'dailyLowPrice': 2.2159, 'dailyPreviousPrice': 2.1967, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
